model,display_model,run,threshold,micro_f1,sample_hit_rate,sample_f1_mean,avg_pred_labels,top1_hit_rate
B1_ESM2_only,B1 ESM-2 only,seed42_base,0.13,0.06128749827196903,0.039760835468769073,0.03505729945191829,0.2826308012008667,0.051121074706315994
B1_ESM2_only,B1 ESM-2 only,seed43,0.13,0.05969609261939219,0.0394618846476078,0.03627703039362232,0.3072047829627991,0.048789236694574356
B1_ESM2_only,B1 ESM-2 only,seed44,0.13,0.061087635495131354,0.039760835468769073,0.035236671649227704,0.2868759334087372,0.051121074706315994
B3_contact_only,B3 contact only,seed42_base,0.07,0.06524222079839541,0.06971599161624908,0.05778779035281277,1.1314200162887573,0.06726457178592682
B3_contact_only,B3 contact only,seed43,0.07,0.06702147575619802,0.07473841309547424,0.052863768789187714,1.2207473516464233,0.04938714578747749
B3_contact_only,B3 contact only,seed44,0.07,0.06383569247849014,0.06857997179031372,0.050957031342681564,1.1393722295761108,0.058236174285411835
Fusion_ESM2_contact,Fusion ESM-2 + contact,seed42_base,0.08,0.1746603617803798,0.13889387249946594,0.11322262557240134,0.5782959461212158,0.13680119812488556
Fusion_ESM2_contact,Fusion ESM-2 + contact,seed43,0.08,0.13238056349530422,0.0966816172003746,0.08060901131753148,0.4493871331214905,0.10092675685882568
Fusion_ESM2_contact,Fusion ESM-2 + contact,seed44,0.08,0.19841551377557054,0.15025411546230316,0.13519130661731557,0.5020627975463867,0.17704035341739655
