l1_name,n_samples,mean_true_labels,any_unseen_fraction,B1_ESM2_only_hit_mean,B1_ESM2_only_sample_f1_mean,B3_contact_only_hit_mean,B3_contact_only_sample_f1_mean,Fusion_ESM2_contact_hit_mean,Fusion_ESM2_contact_sample_f1_mean,fusion_minus_b1_hit,fusion_minus_b3_hit
Transferases,5315,1.0191909689557854,0.38701787394167453,0.0465976819396019,0.04262987352357061,0.06911258399486542,0.056824899082660134,0.13515208661556244,0.11975082998601341,0.08855440467596054,0.06603950262069702
Hydrolases,5248,1.008765243902439,0.13147865853658536,0.015688516199588776,0.015074525745257453,0.10785061120986938,0.07504814129242482,0.1679369956254959,0.12947093979868368,0.15224847942590714,0.060086384415626526
Ligases,2560,1.008203125,0.28359375,0.0007812500116415322,0.0006293402777777778,0.0002604166802484542,0.00026041666666666666,0.002734375186264515,0.0026258680555555553,0.0019531251746229827,0.0024739585060160607
Oxidoreductases,2082,1.0336215177713737,0.49951969260326606,0.08869677037000656,0.06753655672964029,0.050432272255420685,0.03649480195311632,0.19868716597557068,0.18445265287244153,0.10999039560556412,0.14825489372015
Lyases,1123,1.0080142475512022,0.578806767586821,0.06144256517291069,0.061244681903631144,0.06530127674341202,0.05220639160977541,0.04392994940280914,0.04165429900069259,-0.017512615770101547,-0.021371327340602875
Isomerases,397,1.0025188916876575,0.3123425692695214,0.1956339180469513,0.1950741673663588,0.18975651264190674,0.1758546239654552,0.20486986637115479,0.20361041141897565,0.009235948324203491,0.015113353729248047
