run,threshold,n,micro_f1,macro_f1,precision,recall,avg_pred_labels,median_pred_labels
seed42_base,0.5,16725,0.08639308855291576,0.003332802354715205,0.517464424320828,0.04713090609166961,0.09243647234678624,0.0
seed43,0.5,16725,0.07551499918037266,0.0028843519997955916,0.520723436322532,0.040709320136679626,0.0793423019431988,0.0
seed44,0.5,16725,0.0998169484225261,0.006343465940560093,0.579375,0.05461293743372216,0.09566517189835576,0.0
