dataset,n,avg_pred_labels,median_pred_labels,empty_prediction_rate,top1_prob_mean,top1_prob_median,mean_probability,micro_f1,precision,recall,top1_hit_rate,brier,ece
temporal_known_complete,124,0.7983870967741935,1.0,0.3629032258064516,0.6657176613807678,0.8996697664260864,0.00024816920631565154,0.6031746031746031,0.7676767676767676,0.49673202614379086,0.5725806451612904,0.00015715353984566003,0.0001254349620073335
temporal_partial,309,0.459546925566343,0.0,0.6440129449838188,0.3861742615699768,0.26992908120155334,0.0001702362351352349,,,,,,
temporal_novel_complete,35,0.42857142857142855,0.0,0.7428571428571429,0.34036824107170105,0.2199278175830841,0.00021149415988475084,,,,,,
Price-149,136,0.6470588235294118,1.0,0.4852941176470588,0.5187414884567261,0.5527303218841553,0.0001799415476853028,0.25,0.3181818181818182,0.20588235294117646,0.27941176470588236,0.00023145022007754596,0.00021082918534737875
