subset,cutoff,n,n_with_hit,median_top_identity,mean_top_identity,n_identity_ge_30,n_identity_ge_60,n_identity_ge_90,n_identity_ge_99,proteins_all_l4_in_train,proteins_any_l4_absent_train,top_hit_same_l1,top_hit_same_l2,top_hit_same_l3,top_hit_same_l4,n_with_hit_frac,n_identity_ge_30_frac,n_identity_ge_60_frac,n_identity_ge_90_frac,n_identity_ge_99_frac,proteins_all_l4_in_train_frac,top_hit_same_l1_frac,top_hit_same_l2_frac,top_hit_same_l3_frac,top_hit_same_l4_frac
complete-known-124,SP-2018,124,109,0.555,0.5796146788990826,103,46,9,1,113,11,104,104,104,85,0.8790322580645161,0.8306451612903226,0.3709677419354839,0.07258064516129033,0.008064516129032258,0.9112903225806451,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.6854838709677419
complete-known-124,SP-2022,124,110,0.6445,0.6434090909090909,102,63,18,4,115,9,107,107,107,95,0.8870967741935484,0.8225806451612904,0.5080645161290323,0.14516129032258066,0.03225806451612903,0.9274193548387096,0.8629032258064516,0.8629032258064516,0.8629032258064516,0.7661290322580645
complete-known-124,SP-2026-ExpA,124,110,0.6445,0.6431181818181818,102,63,18,4,114,10,107,107,107,95,0.8870967741935484,0.8225806451612904,0.5080645161290323,0.14516129032258066,0.03225806451612903,0.9193548387096774,0.8629032258064516,0.8629032258064516,0.8629032258064516,0.7661290322580645
recency-intersection-99,SP-2018,99,85,0.556,0.6045058823529412,83,38,8,1,99,0,80,80,80,69,0.8585858585858586,0.8383838383838383,0.3838383838383838,0.08080808080808081,0.010101010101010102,1.0,0.8080808080808081,0.8080808080808081,0.8080808080808081,0.696969696969697
recency-intersection-99,SP-2022,99,87,0.619,0.6525172413793102,83,49,14,3,99,0,84,84,84,78,0.8787878787878788,0.8383838383838383,0.494949494949495,0.1414141414141414,0.030303030303030304,1.0,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.7878787878787878
recency-intersection-99,SP-2026-ExpA,99,87,0.619,0.6525172413793102,83,49,14,3,99,0,84,84,84,78,0.8787878787878788,0.8383838383838383,0.494949494949495,0.1414141414141414,0.030303030303030304,1.0,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.7878787878787878
