difficulty_bin,n_samples,mean_true_labels,any_unseen_fraction,B1_ESM2_only_hit_mean,B1_ESM2_only_sample_f1_mean,B3_contact_only_hit_mean,B3_contact_only_sample_f1_mean,Fusion_ESM2_contact_hit_mean,Fusion_ESM2_contact_sample_f1_mean,fusion_minus_b1_hit,fusion_minus_b3_hit
unseen,5287,1.0232646113107622,1.0,0.0,0.0,0.00018914317479357123,0.0001050795452157283,0.0015131453983485699,0.0008868713616207468,0.0015131453983485699,0.0013240022235549986
1-5,4025,1.0159006211180124,0.0,0.0,0.0,0.02028985694050789,0.013043519772516176,0.030559010803699493,0.02860107134641296,0.030559010803699493,0.010269153863191605
26-100,3243,1.0046253469010176,0.0,0.0008222838514484465,0.0005139274334463974,0.15736457705497742,0.10815023648819515,0.19313393533229828,0.13437228250672592,0.19231165148084983,0.03576935827732086
6-25,2415,1.0111801242236025,0.0,0.0,0.0,0.0465148389339447,0.03469059121233034,0.18661145865917206,0.18006441223832526,0.18661145865917206,0.14009661972522736
>100,1755,1.0113960113960114,0.0,0.37644824385643005,0.33758784425451094,0.2748338282108307,0.23555736444625336,0.537321925163269,0.48083751639307193,0.160873681306839,0.26248809695243835
