model,mode,threshold,top_k,n,micro_f1,macro_f1,precision,recall,avg_pred_labels,median_pred_labels
B1_ESM2_only,threshold,0.05,,16725,0.07133592736705577,0.0033596234856828316,0.07933073705466609,0.06480499587604571,0.8290582959641256,0.0
B3_contact_only,threshold,0.12,,16725,0.06920138257231218,0.0025315143380912333,0.09047664351631624,0.05602686461647225,0.6284603886397608,0.0
Fusion_ESM2_contact,threshold,0.05,,16725,0.17782757711573954,0.007151479204225656,0.2017950635751683,0.15894898079415576,0.7994020926756352,1.0
