model,threshold,n_rare_classes,micro_f1,macro_f1,precision,recall,avg_pred_labels,median_pred_labels
B1_ESM2_only,0.65,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.66,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.67,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.68,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.69,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.7,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.71,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.72,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.73,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.74,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.75,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.76,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.77,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.78,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.79,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.8,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.81,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.82,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.83,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.84,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.85,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.86,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.87,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.88,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.89,3028,0.0,0.0,0.0,0.0,0.0,0.0
B1_ESM2_only,0.9,3028,0.0,0.0,0.0,0.0,0.0,0.0
B3_contact_only,0.01,3028,0.007824445592685936,0.00121975165691399,0.004173463074413634,0.0625,5.315097159940209,2.0
B3_contact_only,0.02,3028,0.012913710934926319,0.0011257663212135035,0.0074248049094628385,0.049528301886792456,2.3675336322869955,1.0
B3_contact_only,0.03,3028,0.016738933145104367,0.0011546404202149496,0.010455595213100986,0.04194743935309973,1.423916292974589,0.0
B3_contact_only,0.04,3028,0.01993973768167317,0.0012343894977318935,0.013528138528138528,0.03790431266846361,0.994439461883408,0.0
B3_contact_only,0.05,3028,0.022769567597153807,0.0013699096558041253,0.01686395329982163,0.03504043126684636,0.7374588938714499,0.0
B3_contact_only,0.06,3028,0.023647346099473075,0.0010151411852722943,0.01911489715354249,0.03099730458221024,0.5755455904334829,0.0
B3_contact_only,0.07,3028,0.02453537060163079,0.0009885871925795606,0.021753289045199947,0.028133423180592993,0.4590134529147982,0.0
B3_contact_only,0.08,3028,0.024810250550885496,0.0009408084364414998,0.024062054772835205,0.025606469002695417,0.37769805680119584,0.0
B3_contact_only,0.09,3028,0.02542900328976616,0.0009338650161707743,0.02692524948220674,0.024090296495956873,0.31754857997010466,0.0
B3_contact_only,0.1,3028,0.02522453659468756,0.0009391164122717553,0.02913907284768212,0.02223719676549865,0.27085201793721975,0.0
B3_contact_only,0.11,3028,0.0249164387724096,0.0009199489071417114,0.031242062484124967,0.020721024258760108,0.23539611360239163,0.0
B3_contact_only,0.12,3028,0.0242940863079382,0.0009163632020059106,0.03305305885763989,0.019204851752021565,0.20621823617339313,0.0
B3_contact_only,0.13,3028,0.02345058626465662,0.0004439959927825204,0.03477972838688308,0.01768867924528302,0.18050822122571,0.0
B3_contact_only,0.14,3028,0.022777454968041837,0.00042807790250187766,0.036717871862120645,0.01650943396226415,0.1595814648729447,0.0
B3_contact_only,0.15,3028,0.021332694151486097,0.0004194268362194947,0.03696013289036545,0.014993261455525606,0.14397608370702542,0.0
B3_contact_only,0.16,3028,0.019254505060478894,0.000415073340995056,0.036011080332409975,0.013140161725067386,0.1295067264573991,0.0
B3_contact_only,0.17,3028,0.01893700290367378,0.0004222926392811898,0.037783375314861464,0.01263477088948787,0.11868460388639761,0.0
