file,model,split,eval_mode,threshold,l1_micro_f1,l1_macro_f1,l2_micro_f1,l2_macro_f1,l3_micro_f1,l3_macro_f1,l4_micro_f1,l4_macro_f1,l4_precision,l4_recall,rare_l4_micro_f1,n_l4_samples,ci_low,ci_high,ci_mean,ci_std,b2_l4_micro_f1,p_value,claim_safety_note
outputs/results/b3_contact_test_hier_results.json,b3_contact,test,hierarchical,0.5,0.8801,0.8693,0.8602,0.8103,0.8628,0.7139,0.8987,0.1855,0.9839,0.8272,0.4647,23046.0,,,,,,,random split has exact sequence duplicates; treat as in-distribution
outputs/results/b3_contact_test_results.json,b3_contact,test,independent,,0.9785,0.9804,0.9699,0.9018,0.9656,0.8587,0.8608,0.4637,,,0.381,23046.0,,,,,,,random split has exact sequence duplicates; treat as in-distribution
outputs/results/ensemble_v2v3_test_w37_hier_results.json,ensemble_v2v3_test_w37,test,hierarchical,,0.9933,0.9929,0.9879,0.9271,0.9841,0.8767,0.9397,0.6182,,,0.6704,23046.0,,,,,,,random split has exact sequence duplicates; treat as in-distribution
outputs/results/ensemble_v2v3_test_w46_hier_results.json,ensemble_v2v3_test_w46,test,hierarchical,,0.9935,0.9931,0.9881,0.9287,0.9842,0.8798,0.9405,0.6214,,,0.6749,23046.0,,,,,,,random split has exact sequence duplicates; treat as in-distribution
outputs/results/ensemble_v2v3_test_w55_hier_results.json,ensemble_v2v3_test_w55,test,hierarchical,,0.9878,0.9871,0.9803,0.8923,0.9768,0.855,0.942,0.6306,,,0.691,23046.0,,,,,,,random split has exact sequence duplicates; treat as in-distribution
outputs/results/ensemble_v2v3_test_w55_results.json,ensemble_v2v3_test_w55,test,independent,,0.9936,0.9932,0.9887,0.926,0.9859,0.897,0.9339,0.629,,,0.6784,23046.0,,,,,,,random split has exact sequence duplicates; treat as in-distribution
outputs/results/ensemble_v2v3_test_w64_hier_results.json,ensemble_v2v3_test_w64,test,hierarchical,,0.9877,0.9871,0.9803,0.8918,0.9768,0.8515,0.9423,0.6334,,,0.6941,23046.0,,,,,,,random split has exact sequence duplicates; treat as in-distribution
outputs/results/ensemble_v2v3_test_w73_hier_results.json,ensemble_v2v3_test_w73,test,hierarchical,,0.9931,0.9927,0.9875,0.9217,0.9835,0.8852,0.9403,0.6252,,,0.6802,23046.0,,,,,,,random split has exact sequence duplicates; treat as in-distribution
outputs/results/fusion_test_hier_results.json,fusion,test,hierarchical,,0.9891,0.9886,0.9834,0.9092,0.98,0.8375,0.8631,0.4044,,,0.3368,23046.0,,,,,,,random split has exact sequence duplicates; treat as in-distribution
outputs/results/fusion_test_results.json,fusion,test,independent,,0.9889,0.9887,0.9856,0.9291,0.9827,0.8833,0.8956,0.4982,,,0.479,23046.0,,,,,,,random split has exact sequence duplicates; treat as in-distribution
outputs/results/fusion_v2_test_hier_results.json,fusion_v2,test,hierarchical,0.5,0.9164,0.9005,0.8902,0.8072,0.8917,0.7313,0.9347,0.2967,0.9693,0.9025,0.7432,23046.0,,,,,,,random split has exact sequence duplicates; treat as in-distribution
outputs/results/fusion_v2_test_results.json,fusion_v2,test,independent,,0.9875,0.9869,0.982,0.9125,0.982,0.8935,0.9344,0.6253,,,0.6767,23046.0,,,,,,,random split has exact sequence duplicates; treat as in-distribution
outputs/results/bootstrap_ci_fusion_v2_test.json,fusion_v2_test,test,bootstrap_ci,0.5,,,,,,,0.9313,,,,,23046.0,0.9284,0.9345,0.9313,0.0015,,,random split has exact sequence duplicates; treat as in-distribution
outputs/results/wilcoxon_v2_vs_b2.json,fusion_v2_vs_b2_wilcoxon,test,wilcoxon,,,,,,,,0.9274,,,,,27034.0,,,,,0.8257,0.0,random split has exact sequence duplicates; treat as in-distribution
outputs/results/fusion_v3_test_hier_results.json,fusion_v3,test,hierarchical,0.5,0.9204,0.9025,0.8913,0.8066,0.8922,0.7285,0.9065,0.2383,0.9737,0.8479,0.5687,23046.0,,,,,,,random split has exact sequence duplicates; treat as in-distribution
outputs/results/fusion_v3_test_results.json,fusion_v3,test,independent,,0.9875,0.9869,0.9822,0.915,0.9816,0.8931,0.9384,0.637,,,0.6923,23046.0,,,,,,,random split has exact sequence duplicates; treat as in-distribution
outputs/results/hitec_pretrained_test_results.json,hitec_pretrained,test,independent,,,,,,,,0.1235,,0.0998,0.1618,,,,,,,,,random split has exact sequence duplicates; treat as in-distribution | prior/pretrained comparison has limited class/domain comparability
outputs/results/temperature_scaling.json,temperature_scaling,unknown,independent,,,,,,,,,,,,,,,,,,,,
outputs/results/ecbench_eval_ecbench_b2_hard_val_best.json,ecbench_eval_ecbench_b2_hard_val_best,val,independent,,,,,,,,,,,,,,,,,,,,
outputs/results/ensemble_v2v3_val_w37_hier_results.json,ensemble_v2v3_val_w37,val,hierarchical,,0.9883,0.9871,0.9825,0.9349,0.9792,0.8712,0.9439,0.6334,,,0.6893,22922.0,,,,,,,
outputs/results/ensemble_v2v3_val_w46_hier_results.json,ensemble_v2v3_val_w46,val,hierarchical,,0.9883,0.9871,0.9825,0.9351,0.9793,0.8701,0.944,0.634,,,0.6898,22922.0,,,,,,,
outputs/results/ensemble_v2v3_val_w55_hier_results.json,ensemble_v2v3_val_w55,val,hierarchical,,0.9884,0.9872,0.9827,0.9354,0.9795,0.8711,0.9444,0.6341,,,0.6907,22922.0,,,,,,,
outputs/results/ensemble_v2v3_val_w64_hier_results.json,ensemble_v2v3_val_w64,val,hierarchical,,0.9882,0.9871,0.9826,0.9362,0.9794,0.8696,0.9442,0.6325,,,0.6874,22922.0,,,,,,,
outputs/results/ensemble_v2v3_val_w73_hier_results.json,ensemble_v2v3_val_w73,val,hierarchical,,0.9882,0.987,0.9825,0.935,0.9793,0.8649,0.9441,0.6332,,,0.6865,22922.0,,,,,,,
outputs/results/sim_eval_swissprot.json,sim_eval_swissprot,val,independent,,,,,,,,,,,,,,,,,,,,
