subset,L1_micro_f1,L2_micro_f1,L3_micro_f1,L4_micro_f1
all_prefix_scorable,0.8387799564270153,0.7694483734087695,0.7239263803680982,0.6031746031746031
novel_complete,0.84375,0.75,0.5483870967741935,
partial,0.8258706467661692,0.7321867321867321,0.6628895184135978,
