prefix,tm_score_threshold,assignment_mode,clusters,cluster_size_median,cluster_size_mean,cluster_size_max,train_proteins,test_proteins,valid_test_proteins,train_l4_seen_classes,train_l4_unseen_classes,test_positive_labels,unseen_positive_fraction,rare_seen_positive_fraction,sample_all_labels_seen_fraction,sample_any_unseen_label_fraction,sample_all_labels_unseen_fraction,mean_true_label_cardinality,largest_l1_fraction
foldseek_tmscore40_cc,0.4,protein_balanced,10893,2.0,19.541265032589738,1026,169626,21617,21617,4500,807,23044,0.15934733553202568,0.5082017010935601,0.8301336910764676,0.1698663089235324,0.1698663089235324,1.066012860248878,0.41869824675024286
foldseek_tmscore50_cc,0.5,cluster_count,3813,2.0,55.82559664306321,18692,170573,16725,16725,3972,1335,16974,0.3153057617532697,0.38482384823848237,0.6838863976083707,0.3161136023916293,0.31276532137518687,1.0148878923766815,0.3177877428998505
foldseek_tmscore60_cc,0.6,protein_balanced,11869,2.0,17.934366837981297,1026,169757,21555,21555,4500,807,22978,0.1030115762903647,0.46696840456088434,0.890187891440501,0.10981210855949895,0.1097657156112271,1.0660171653908606,0.3954998840176293
