run,top_k,n,hit_rate,micro_f1,macro_f1,precision,recall,avg_pred_labels,median_pred_labels
seed42_base,1,16725,0.13680119581464872,0.13579037953648476,0.0062012189894733736,0.13680119581464872,0.13479439142217509,1.0,1.0
seed42_base,3,16725,0.23862481315396114,0.11916782081639339,0.005427964889118849,0.07974090682610863,0.23571344409096265,3.0,3.0
seed42_base,5,16725,0.2709715994020927,0.09041839382101213,0.005130901885453443,0.054385650224215244,0.2679392011311417,5.0,5.0
seed42_base,10,16725,0.31665171898355754,0.05775577557755776,0.004697935904059681,0.03180866965620329,0.3134205255096029,10.0,10.0
seed43,1,16725,0.10092675635276532,0.10018101427342058,0.004808155046575186,0.10092675635276532,0.09944621185342288,1.0,1.0
seed43,3,16725,0.19874439461883409,0.0991526307167642,0.005559632363626537,0.06634778276033881,0.19612348297396018,3.0,3.0
seed43,5,16725,0.23168908819133036,0.07719758645712185,0.005128384338457012,0.04643348281016443,0.22876163544244138,5.0,5.0
seed43,10,16725,0.287473841554559,0.05238188292513462,0.004873396540782809,0.028849028400597908,0.28425827736538234,10.0,10.0
seed44,1,16725,0.1770403587443946,0.17573221757322174,0.007679856331901211,0.1770403587443946,0.17444326617179215,1.0,1.0
seed44,3,16725,0.29608370702541104,0.14779073403922618,0.007746493982509976,0.09889387144992526,0.29232944503358077,3.0,3.0
seed44,5,16725,0.33088191330343797,0.11029930715017049,0.006845768624274625,0.06634379671150972,0.32685283374572877,5.0,5.0
seed44,10,16725,0.37291479820627804,0.06804759423310751,0.00585901893797888,0.037476831091180864,0.36927064922823144,10.0,10.0
