method,threshold,micro_f1,weighted_f1,macro_f1,precision,recall,avg_predictions_per_protein,empty_prediction_count,rare_ec_f1,rare_class_count
global_threshold,0.05,0.3908523908523909,0.539945657854419,0.006901966253411883,0.2865853658536585,0.6143790849673203,2.6451612903225805,10,0.25225225225225223,3760
global_threshold,0.1,0.4524421593830334,0.5352047607861561,0.006599224487734704,0.3728813559322034,0.5751633986928104,1.903225806451613,14,0.2980392156862745,3760
global_threshold,0.15,0.5132743362831859,0.5469654528478057,0.006693002141678708,0.46774193548387094,0.5686274509803921,1.5,16,0.3523809523809524,3760
global_threshold,0.2,0.5544554455445545,0.5498489591915197,0.006791104649305386,0.56,0.5490196078431373,1.2096774193548387,23,0.38636363636363635,3760
global_threshold,0.25,0.5865724381625441,0.5499957558781088,0.006857004984829388,0.6384615384615384,0.5424836601307189,1.0483870967741935,27,0.4230769230769231,3760
global_threshold,0.3,0.5955882352941176,0.5363626932254383,0.006821263761225027,0.680672268907563,0.5294117647058824,0.9596774193548387,31,0.4246575342465753,3760
global_threshold,0.35,0.599250936329588,0.5330947193692291,0.006785398328329252,0.7017543859649122,0.5228758169934641,0.9193548387096774,33,0.425531914893617,3760
global_threshold,0.4,0.5984848484848485,0.5214752567693743,0.006737577751134885,0.7117117117117117,0.5163398692810458,0.8951612903225806,36,0.42028985507246375,3760
global_threshold,0.45,0.6046511627906976,0.5149393090569561,0.006665846885343335,0.7428571428571429,0.5098039215686274,0.8467741935483871,42,0.42105263157894735,3760
global_threshold,0.5,0.6031746031746031,0.5025506137414315,0.006516886620493983,0.7676767676767676,0.49673202614379086,0.7983870967741935,45,0.421875,3760
global_threshold,0.55,0.6153846153846154,0.5025506137414315,0.006516886620493983,0.8085106382978723,0.49673202614379086,0.7580645161290323,48,0.43548387096774194,3760
global_threshold,0.6,0.6090534979423868,0.48947871831659495,0.006086501425744683,0.8222222222222222,0.48366013071895425,0.7258064516129032,52,0.4132231404958678,3760
global_threshold,0.65,0.6166666666666667,0.48947871831659495,0.006086501425744683,0.8505747126436781,0.48366013071895425,0.7016129032258065,54,0.42016806722689076,3760
global_threshold,0.7,0.6160337552742616,0.48621074446038576,0.006050635992848908,0.8690476190476191,0.477124183006536,0.6774193548387096,56,0.4067796610169492,3760
global_threshold,0.75,0.6068376068376068,0.4766549354784648,0.005915589324240067,0.8765432098765432,0.46405228758169936,0.6532258064516129,58,0.39655172413793105,3760
global_threshold,0.8,0.6068376068376068,0.4766549354784648,0.005915589324240067,0.8765432098765432,0.46405228758169936,0.6532258064516129,58,0.39655172413793105,3760
global_threshold,0.85,0.6060606060606061,0.47011898776604655,0.005700396726865417,0.8974358974358975,0.45751633986928103,0.6290322580645161,59,0.40350877192982454,3760
global_threshold,0.9,0.5991189427312775,0.46165577342047925,0.005537622839107669,0.918918918918919,0.4444444444444444,0.5967741935483871,62,0.39285714285714285,3760
global_threshold,0.95,0.5855855855855856,0.44897374154340103,0.005453433454520743,0.9420289855072463,0.42483660130718953,0.5564516129032258,67,0.3963963963963964,3760
threshold_0.5_or_top1_if_empty,0.5,0.5589225589225589,0.5412506883095118,0.006808205065145026,0.5763888888888888,0.5424836601307189,1.1612903225806452,0,0.41025641025641024,3760
top1_only,,0.5126353790613718,0.46281931576049223,0.006193369072646025,0.5725806451612904,0.46405228758169936,1.0,0,0.36363636363636365,3760
